a,z,H_km_s_Mpc,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_eff,D,f
0.00020429538156138476,4893.87325830481,20203247.419212695,0.34784797657267036,7.5882290340287e-12,0.4121979987707248,-2.1814785610166906e-11,0.19593400039964073,0.000438072402134379,0.7505339578237247
0.00020587075736289362,4856.41643354075,19926823.69006646,0.3494196703048915,7.800216178646087e-12,0.41406044746538323,-2.2323345940043277e-11,0.1953131841678053,0.00044060406306716796,0.7497811910074438
0.0002074582813044975,4819.246238000242,19654322.71740585,0.35099344053823567,8.018010674091768e-12,0.41592535680277704,-2.2843762155820574e-11,0.19469154772171698,0.0004431478361984655,0.7490542304359564
0.00020905804706372293,4782.36047832299,19385687.164028015,0.3525692448668745,8.241768193676485e-12,0.4177926765322257,-2.3376310649545754e-11,0.19406910781160241,0.0004457038502772191,0.7483527632533319
0.00021067014904046748,4745.756977932885,19120860.547924884,0.3541470406551098,8.47164848691038e-12,0.41966235613065367,-2.3921274256694806e-11,0.19344588127848658,0.000448272235034384,0.7476764805531967
0.0002122946823625728,4709.4335769095005,18859787.229381096,0.3557267850417556,8.707815483659485e-12,0.42153434480778423,-2.447894240638695e-11,0.19282188505246148,0.00045085312118923077,0.7470250772892489
0.0002139317428914351,4673.3881318607055,18602412.3982685,0.35730843494457043,8.950437400899666e-12,0.4234085915113905,-2.5049611275098922e-11,0.1921971361509359,0.00045344664045570695,0.746398252188299
0.00021558142722766469,4637.618515796124,18348682.061532393,0.3588919470647452,9.19968685213291e-12,0.4252850449326145,-2.563358394396472e-11,0.19157165167686227,0.00045605292554883807,0.7457957076657653
0.00021724383271678316,4602.122618001689,18098543.03086846,0.3604772778914387,9.455740959529298e-12,0.4271636535113411,-2.6231170559740396e-11,0.19094544881694528,0.0004586721101911889,0.7452171497435564
0.00021891905745497053,4566.898343915033,17851942.910585646,0.362064383706369,9.718781468862816e-12,0.4290443654416394,-2.6842688499523288e-11,0.19031854483982846,0.0004613043291193636,0.7446622879702807
0.00022060720029485232,4531.943615001917,17608830.085653704,0.36365322058845023,9.988994867307671e-12,0.4309271286772561,-2.746846253931002e-11,0.18969095709426262,0.00046394971809056744,0.7441308353437067
