a,z,rho_de_eff,w_eff_de,positive_rho_de_eff
0.0007657201193853832,1304.9601996649442,17094910.895347506,-9.590272986859105e-08,True
0.0007716247900518902,1294.9666574900375,16705462.434506953,-9.622946584020298e-08,True
0.0007775749931979509,1285.0495884612706,16324886.210948259,-9.65634020522188e-08,True
0.0007835710799365754,1275.2084073865296,15952980.101406485,-9.690582680743631e-08,True
0.0007896134040883012,1265.4425335517374,15589546.58729738,-9.725605798482917e-08,True
0.0007957023222020673,1255.7513906865934,15234392.64981392,-9.761447472556029e-08,True
0.0008018381935762572,1246.1344069305637,14887329.667416751,-9.798115263581764e-08,True
0.0008080213802798987,1236.5910147991378,14548173.315655202,-9.835609182662353e-08,True
0.0008142522471740307,1227.1206511503422,14216743.469275266,-9.874042916635517e-08,True
0.0008205311619332315,1217.72275715151,13892864.106553942,-9.91332550492885e-08,True
0.0008268584950673156,1208.3967782463053,13576363.21581453,-9.953532753570471e-08,True
0.0008332346199431961,1199.1421641220004,13267072.704072595,-9.994702543369982e-08,True
0.00083965991280692,1189.9583686769981,12964828.307760864,-1.0036804576341041e-07,True
0.0008461347528058641,1180.8448499886147,12669469.505490124,-1.0079914625205078e-07,True
0.0008526595220111125,1171.8010702810955,12380839.43279612,-1.0123979643505976e-07,True
0.0008592346054400002,1162.8264958938846,12098784.79882902,-1.0169098152434941e-07,True
0.0008658603910788333,1153.9205972501331,11823155.804942071,-1.021528532874072e-07,True
0.0008725372699057826,1145.0828488254501,11553806.065132022,-1.026254873304211e-07,True
0.0008792656359139547,1136.3127291168928,11290592.528295696,-1.0310903542087857e-07,True
0.0008860458861346435,1127.6097206121897,11033375.402253956,-1.0360319413482699e-07,True
0.0008928784206607543,1118.9733097592086,10782018.079510152,-1.0410993434017968e-07,True
0.0008997636426704154,1110.4029869356493,10536387.064697325,-1.0462827049195766e-07,True
0.0009067019584507684,1101.898246418972,10296351.903678507,-1.0515835435764842e-07,True
0.0009136937774219428,1093.4585863565546,10061785.114263982,-1.057011710381417e-07,True
0.000920739512161215,1085.083508736081,9832562.118504956,-1.0625596280622318e-07,True
0.000927839578427354,1076.7725193561528,9608561.176530257,-1.0682416962115582e-07,True
0.0009349943951851545,1068.5251277971272,9389663.321891963,-1.0740609468484763e-07,True
0.0009422043846301616,1060.3408473921766,9175752.298380524,-1.0800090421980713e-07,True
0.0009494699722135797,1052.2191951985753,8966714.49828282,-1.0860958354896866e-07,True
0.0009567915866673811,1044.1596919691976,8762438.902044728,-1.0923228421777509e-07,True
0.0009641696600296041,1036.1618621242405,8562817.019309059,-1.0987006737739335e-07,True
0.0009716046276698464,1028.2252337231585,8367742.831296667,-1.1052285719959087e-07,True
0.000979096928314956,1020.3493384368171,8177112.734499544,-1.1119027476524934e-07,True
0.000986647004074919,1012.5337115198569,7990825.485657692,-1.1187330528628081e-07,True
0.0009942553004689517,1004.7778917832661,7808782.147988975,-1.1257247933826875e-07,True
0.001001922266451784,997.0814215671726,7630886.038643882,-1.1328810012312118e-07,True
0.0010096483544401558,989.4438467138336,7457042.677357584,-1.1402047073172383e-07,True
0.001017434020339512,981.8647165408383,7287159.736271426,-1.1476890904305037e-07,True
0.0010252797235709053,974.3435838145131,7121146.99089773,-1.1553553724841237e-07,True
0.0010331859270981062,966.8800047235302,6958916.27220273,-1.1632065854971785e-07,True
0.0010411530974549202,959.4735388527218,6800381.419778645,-1.1712328762403246e-07,True
0.001049181704772721,952.1237491570871,6645458.236084998,-1.1794497822847916e-07,True
0.0010572722228081879,944.8302019360077,6494064.441731527,-1.1878546501975507e-07,True
0.0010654251289712634,937.5924668076531,6346119.631779134,-1.1964512702800079e-07,True
0.0010736409043533251,930.4101166835848,6201545.233037725,-1.2052616205071587e-07,True
0.0010819200337555742,923.2827277435539,6060264.462335959,-1.214272439264974e-07,True
0.001090263005717641,916.2098794104938,5922202.285741016,-1.223482209988802e-07,True
0.0010986703125464151,909.1911543257007,5787285.37870945,-1.232918975802022e-07,True
0.0011071424503450943,902.2261383242073,5655442.087144271,-1.2425740203436675e-07,True
0.0011156799190424618,895.3144204103407,5526602.389338873,-1.2524484793718926e-07,True
0.0011242832224223815,888.4555927334744,5400697.858789787,-1.2625616818695562e-07,True
0.001132952868153529,881.6492505639587,5277661.627854779,-1.2729037734970916e-07,True
0.0011416893678193477,874.8949922692391,5157428.352239534,-1.2834887763713e-07,True
0.001150493236948236,868.1924192901561,5039934.176294051,-1.2943257843289757e-07,True
0.001159364995043969,861.5411361174268,4925116.699098356,-1.3054064618156502e-07,True
0.0011683051656163513,854.9407502683084,4812914.941321775,-1.3167478607467586e-07,True
0.0011773142762121138,848.3908722634334,4703269.312837124,-1.3283560440502384e-07,True
0.0011863928584460366,841.8911156038329,4596121.581072204,-1.340234044855393e-07,True
0.0011955414480323235,835.4410967481265,4491414.840082794,-1.3523924735636683e-07,True
0.0012047605848162126,829.0404350898905,4389093.480329931,-1.3648301921964645e-07,True
0.0012140508128058308,822.6887529351994,4289103.159145705,-1.377557055093348e-07,True
0.0012234126802042969,816.385675480338,4191390.7718722746,-1.3905817775050622e-07,True
