a,z,k_h_Mpc,delta_A,theta_A,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00011750555064331143,8509.236278416362,0.0001,1.0000000132360722e-05,-1.5551700836759402e-12,-1.2326080328298183e-06,14754.013872022993,0.14754014067308185,-2.1007253446237556e-06,0.0
0.00011841166706949636,8444.113769178633,0.0001,1.0000000145489397e-05,-1.6447474882544424e-12,-1.239330422130422e-06,14578.108254406769,0.14578108466502787,-2.094002959699377e-06,0.0
0.00011932477079945786,8379.48959407298,0.0001,1.0000000159326251e-05,-1.7359237484134055e-12,-1.2460742495596115e-06,14404.299881985933,0.14404300111484242,-2.0872591368824723e-06,0.0
0.00012024491571414658,8315.359939718865,0.0001,1.000000017388389e-05,-1.828725599105593e-12,-1.2528394179034255e-06,14232.563750229856,0.1423256399771121,-2.0804939733912046e-06,0.0
0.00012117215611000261,8251.721021916777,0.0001,1.0000000189175128e-05,-1.9231801715856957e-12,-1.2596258280682288e-06,14062.875152726052,0.14062875418760673,-2.0737075683234807e-06,0.0
0.00012210654670216113,8188.569085424813,0.0001,1.0000000205212996e-05,-2.0193149981485786e-12,-1.2664333790796013e-06,13895.209677625558,0.1389520996277332,-2.066900022658064e-06,0.0
0.0001230481426276794,8125.900403737198,0.0001,1.0000000222010738e-05,-2.117158016901309e-12,-1.2732619680815075e-06,13729.543204131298,0.137295435089419,-2.0600714392554052e-06,0.0
0.00012399699944879165,8063.711278864296,0.0001,1.000000023958182e-05,-2.216737576569481e-12,-1.2801114903357922e-06,13565.851899027692,0.1356585222404084,-2.0532219228581475e-06,0.0
0.0001249531731561874,8001.99804111443,0.0001,1.0000000257939929e-05,-2.3180824413371123e-12,-1.2869818392219834e-06,13404.112213252112,0.13404112558997688,-2.046351580091326e-06,0.0
0.00012591672017231442,7940.757048877391,0.0001,1.0000000277098981e-05,-2.421221795720157e-12,-1.293872906237393e-06,13244.300878507132,0.1324430124550536,-2.039460519462267e-06,0.0
0.00012688769735470985,7879.984688409446,0.0001,1.0000000297073117e-05,-2.526185249473698e-12,-1.3007845809975652e-06,13086.394903912844,0.13086395292674458,-2.0325488513601405e-06,0.0
0.00012786616199935346,7819.67737362021,0.0001,1.0000000317876716e-05,-2.6330028425320287e-12,-1.30771675123701e-06,12930.37157269962,0.12930371983726024,-2.0256166880552284e-06,0.0
0.00012885217184405037,7759.831545860932,0.0001,1.0000000339524388e-05,-2.7417050499821752e-12,-1.3146693028102835e-06,12776.20843893971,0.12776208872723144,-2.0186641436978458e-06,0.0
0.00012984578507183636,7700.443673714602,0.0001,1.0000000362030985e-05,-2.852322787069875e-12,-1.321642119693377e-06,12623.883324318425,0.12623883781342116,-2.011691334316951e-06,0.0
0.00013084706031441263,7641.510252787478,0.0001,1.0000000385411601e-05,-2.964887414238554e-12,-1.3286350839854432e-06,12473.374314943252,0.12473374795681569,-2.0046983778184235e-06,0.0
0.00013185605665560506,7583.0278055023355,0.0001,1.0000000409681579e-05,-3.079430742200486e-12,-1.3356480759108444e-06,12324.65975819136,0.12324660263109966,-1.997685393983015e-06,0.0
0.0001328728336348497,7524.99288089331,0.0001,1.0000000434856507e-05,-3.1959850370401154e-12,-1.342680973821524e-06,12177.718259594698,0.12177718789150702,-1.9906525044639787e-06,0.0
0.0001338974512507081,7467.40205440215,0.0001,1.0000000460952232e-05,-3.3145830253496065e-12,-1.3497336541997374e-06,12032.528679761901,0.12032529234403996,-1.98359983278434e-06,0.0
0.00013492996996440545,7410.251927676262,0.0001,1.0000000487984855e-05,-3.4352578993957046e-12,-1.3568059916610793e-06,11889.070131337392,0.11889070711506008,-1.9765275043338723e-06,0.0
0.00013597045070340064,7353.5391283680565,0.0001,1.0000000515970739e-05,-3.5580433223184937e-12,-1.3638978589578912e-06,11747.3219759962,0.1174732258212364,-1.9694356463656883e-06,0.0
0.00013701895486497917,7297.260309936076,0.0001,1.0000000544926511e-05,-3.682973433360909e-12,-1.3710091269829639e-06,11607.26382147513,0.11607264453985708,-1.96232438799254e-06,0.0
0.00013807554431987816,7241.412151447403,0.0001,1.0000000574869067e-05,-3.8100828531296155e-12,-1.3781396647736184e-06,11468.87551863888,0.11468876177949057,-1.9551938601827373e-06,0.0
0.00013914028141593626,7185.991357381761,0.0001,1.0000000605815571e-05,-3.939406688886283e-12,-1.3852893395161049e-06,11332.1371585814,0.11332137845099914,-1.948044195755752e-06,0.0
0.0001402132289817721,7130.994657437075,0.0001,1.000000063778347e-05,-4.070980539869232e-12,-1.3924580165503497e-06,11197.029069761842,0.11197029783889847,-1.9408755293774734e-06,0.0
0.00014129445033049352,7076.418806336405,0.0001,1.0000000670790484e-05,-4.2048405026455045e-12,-1.3996455593750638e-06,11063.531815174374,0.11063532557305561,-1.9336879975550973e-06,0.0
0.00014238400926343137,7022.260583636557,0.0001,1.000000070485462e-05,-4.34102317649229e-12,-1.4068518296531686e-06,10931.626189552122,0.10931626960072845,-1.926481738631705e-06,0.0
0.00014348197007390656,6968.51679353794,0.0001,1.0000000739994174e-05,-4.479565668808359e-12,-1.4140766872176027e-06,10801.29321660404,0.10801294015893444,-1.919256892780455e-06,0.0
0.00014458839755102174,6915.184264696095,0.0001,1.0000000776227728e-05,-4.6205056005542154e-12,-1.4213199900774446e-06,10672.51414628515,0.1067251497471529,-1.912013601998465e-06,0.0
