a,z,Gamma,H,rho_A,rho_B,Omega_A,Omega_B,w_dark,w_B_eff,D,f
0.0001806677907556847,5534.020912234933,1.6323450906964764e-07,25298266.84312558,46173551116.894775,-4826.448330270628,0.32774157115670066,-3.4258308503604425e-08,1.0452843062802057e-07,-0.4794573267401664,0.0003940303555388463,0.7679397621304626
0.00018206096794595343,5491.665513548515,1.6504839347774427e-07,24949723.436866783,45121646186.631714,-4768.896406621154,0.32928599277441406,-3.480216083423454e-08,1.0568978115115097e-07,-0.47945642071857175,0.00039635980959733605,0.7667438677529691
0.0001834648882945647,5449.63422922884,1.668824340198881e-07,24606154.574187413,44093705277.48076,-4712.030649275735,0.33083305264016416,-3.535415030385426e-08,1.0686403247741642e-07,-0.47945550376866286,0.0003986994204797577,0.7655792981494155
0.00018487963464485852,5407.924579069693,1.6873685467382475e-07,24267487.256712515,43089182451.98707,-4655.84287737573,0.33238271175924544,-3.5914389483519866e-08,1.0805132786247677e-07,-0.47945457575857764,0.0004010493014923491,0.7644456623413366
0.00018630529047900077,5366.5341018440595,1.7061188190617013e-07,23933649.577283602,42107544209.99577,-4600.325007599306,0.3339349308521803,-3.648299235046708e-08,1.0925181215154061e-07,-0.47945363655486206,0.0004034095668213072,0.7633425751279272
0.00018774193992291183,5325.460355158826,1.7250774470007024e-07,23604570.70347897,41148269205.30945,-4545.469052998468,0.3354896703583067,-3.706007430362519e-08,1.1046563179697648e-07,-0.4794526860224505,0.0004057803315383488,0.7622696569449797
0.000189189667751228,5284.700915310737,1.7442467458316173e-07,23280180.861385193,40210847968.80396,-4491.267121850133,0.33704689043942293,-3.764575217928262e-08,1.1169293487611392e-07,-0.47945172402464664,0.0004081617116063058,0.7612265337278737
0.00019064855939230653,5244.253377143295,1.7636290565584996e-07,22960411.319613617,39294782637.84864,-4437.711416520704,0.3386065509835024,-3.824014426690965e-08,1.1293387110924593e-07,-0.4794507504231039,0.0004105538238847615,0.7602128367784929
0.00019211870093326406,5204.115353904919,1.7832267461989464e-07,22645194.373560533,38399586691.89411,-4384.794232344386,0.34016861160846495,-3.884337032513568e-08,1.1418859187782522e-07,-0.4794497650778048,0.0004129567861357331,0.7592282026359528
0.00019360017912505882,5164.284477108028,1.8030422080731947e-07,22334463.329904974,37524784694.08069,-4332.507956514682,0.3417330316660156,-3.945555159788687e-08,1.1545725024286587e-07,-0.47944876784704116,0.0004153707170293883,0.7582722729510244
0.00019509308138760865,5124.75839638932,1.8230778620963855e-07,22028152.491342485,36669912038.73542,-4280.845066989233,0.3432997702455411,-4.007681083068237e-08,1.1674000096354519e-07,-0.47944775858739397,0.0004177957361498127,0.7573446943641419
0.00019659749581494844,5085.534779371103,1.8433361550740786e-07,21726197.141550414,35834514704.62148,-4229.798131407715,0.34486878617806627,-4.070727228709207e-08,1.1803700051601071e-07,-0.47944673715371233,0.00042023196400081073,0.7564451183868907
0.00019811351118043097,5046.611311523598,1.8638195610010922e-07,21428533.530380562,35018149013.80701,-4179.359806022514,0.3464400380402753,-4.1347061765359386e-08,1.1934840711239776e-07,-0.47944570339909287,0.00042267952201175893,0.7555732012868663
0.0001996412169419625,5007.985696028436,1.8845305813636002e-07,21135098.859277464,34220381396.030136,-4129.52283464233,0.34801348415858563,-4.1996306615186814e-08,1.2067438072005245e-07,-0.4794446571748573,0.0004251385325434942,0.7547286039758131
0.00020118070324728416,4969.655653643062,1.9054717454446522e-07,20845831.266916804,33440788158.42916,-4080.280047588189,0.3495890826132856,-4.265513575469067e-08,1.2201508308097138e-07,-0.47944359833053307,0.0004276091188942541,0.7539109919009398
0.00020273206093928894,4931.618922566296,1.9266456106330243e-07,20560669.815062657,32678955260.521557,-4031.6243606620865,0.35116679124272554,-4.3323679687522355e-08,1.2337067773145117e-07,-0.4794425267138296,0.0004300914053056569,0.753120034939321
0.00020429538156138476,4893.87325830481,1.9480547627355663e-07,20279554.47463822,31934478094.306427,-3983.5487741277457,0.3527465676475695,-4.4002070520162174e-08,1.2474133002195962e-07,-0.479441442170618,0.000432585516968726,0.7523554072952968
0.00020587075736289362,4856.41643354075,1.9697018162929536e-07,20002426.112008814,31206961269.379383,-3936.046371703706,0.35432836919509875,-4.469044197938325e-08,1.2612720713722086e-07,-0.4794403445449077,0.0004350915800299667,0.7516167874007798
0.0002074582813044975,4819.246238000242,1.9915894148990116e-07,19729226.475471973,30496018402.940243,-3889.1103195682504,0.3559121530235741,-4.53889294298918e-08,1.2752847811652705e-07,-0.47943923367882413,0.0004376097215974797,0.7509038578183885
0.00020905804706372293,4782.36047832299,2.0137202315235472e-07,19459898.181953013,29801271914.586414,-3842.733865376308,0.3574978760466504,-4.6097669892141936e-08,1.2894531387427066e-07,-0.47943810941258636,0.0004401400697471309,0.750216305147327
0.00021067014904046748,4745.756977932885,2.0360969688387607e-07,19194384.703902386,29122352825.78112,-3796.910337288077,0.3590854949578433,-4.6816802060328424e-08,1.3037788722070343e-07,-0.4794369715844834,0.0004426827535287621,0.7495538199319269
0.0002122946823625728,4709.4335769095005,2.0587223595493394e-07,18932630.356391087,28458900563.888504,-3751.633143009118,0.3606749662350521,-4.754646632056089e-08,1.3182637288292703e-07,-0.47943582003085206,0.0004452379029724496,0.7489160965727839
0.0002139317428914351,4673.3881318607055,2.0815991667261427e-07,18674580.284402676,27810562770.67545,-3706.895768842058,0.3622662461451288,-4.828680476921748e-08,1.3329094752611063e-07,-0.4794346545860515,0.00044780564909481757,0.7483028332404056
0.00021558142722766469,4637.618515796124,2.1047301841436759e-07,18420180.45031699,27176995115.17357,-3662.691778749425,0.36385929074850354,-4.903796123148507e-08,1.3477178977494765e-07,-0.47943347508244094,0.00045038612390539055,0.7477137317913082
0.00021724383271678316,4602.122618001689,2.1281182366212288e-07,18169377.62158463,26557861110.806892,-3619.0148134278284,0.365454055903853,-4.9800081280082514e-08,1.362690802353433e-07,-0.47943228135035487,0.000452979460413006,0.7471484976864871
