product_id,source_figure,evidence_level,z,beta_mean,beta_68_low,beta_68_high,beta_95_low,beta_95_high,digitization_sigma
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.12,-0.523138832997988,-1.7344064386317908,0.26961770623742454,-1.8953722334004026,1.0020120724346078,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.13,-0.523138832997988,-1.6700201207243461,0.26961770623742454,-1.8953722334004026,0.9939637826961771,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.14,-0.523138832997988,-1.6438631790744465,0.26961770623742454,-1.8792756539235413,0.9456740442655935,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.15,-0.5191146881287727,-1.6136820925553321,0.8410462776659959,-1.86317907444668,0.9456740442655935,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.16,-0.5191146881287727,-1.5975855130784709,0.8410462776659959,-1.8551307847082494,0.9456740442655935,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.17,-0.5191146881287727,-1.5774647887323943,0.8410462776659959,-1.8470824949698188,0.9376257545271629,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.18,-0.5191146881287727,-1.5251509054325956,0.7645875251509054,-1.8309859154929575,0.9134808853118712,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.19,-0.5271629778672033,-1.5251509054325956,0.7344064386317908,-1.7987927565392354,0.8893360160965795,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.2,-0.5392354124748491,-1.5251509054325956,0.1569416498993963,-1.7987927565392354,0.8571428571428572,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.21,-0.5432595573440642,-1.517102615694165,0.1569416498993963,-1.7987927565392354,0.7927565392354126,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.22,-0.5432595573440642,-1.517102615694165,0.1569416498993963,-1.7907444668008048,0.7927565392354126,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.23,-0.5392354124748491,-1.5070422535211265,0.5070422535211268,-1.7826961770623742,0.7847082494969819,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.24,-0.5392354124748491,-1.4849094567404428,0.5835010060362174,-1.7746478873239435,0.7605633802816902,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.25,-0.5432595573440642,-1.460764587525151,0.5835010060362174,-1.7665995975855129,0.7364185110663983,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.26,-0.5754527162977867,-1.404426559356137,0.5835010060362174,-1.7585513078470827,0.7122736418511066,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.27,-0.5835010060362174,-1.3883299798792756,0.5674044265593561,-1.750503018108652,0.647887323943662,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.28,-0.591549295774648,-1.3883299798792756,0.5432595573440644,-1.7183098591549295,0.647887323943662,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.29,-0.6076458752515093,-1.3883299798792756,-0.028169014084507005,-1.7183098591549295,0.6317907444668007,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.3,-0.6076458752515093,-1.3963782696177063,-0.028169014084507005,-1.7183098591549295,0.607645875251509,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.31,-0.6076458752515093,-1.3963782696177063,-0.028169014084507005,-1.7102615694164989,0.5835010060362174,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.32,-0.6076458752515093,-1.3963782696177063,0.4386317907444668,-1.7022132796780682,0.5593561368209254,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.33,-0.6156941649899395,-1.356136820925553,0.4386317907444668,-1.694164989939638,0.5030181086519114,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.34,-0.6156941649899395,-1.2917505030181085,0.4386317907444668,-1.6861167002012074,0.5030181086519114,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.35000000000000003,-0.6156941649899395,-1.2837022132796783,0.4205231388329981,-1.6780684104627768,0.5030181086519114,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.36,-0.6317907444668007,-1.2837022132796783,-0.08450704225352101,-1.6619718309859155,0.4708249496981891,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.37,-0.6317907444668007,-1.2837022132796783,-0.09255533199195165,-1.6217303822937628,0.4466800804828974,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.38,-0.6317907444668007,-1.2917505030181085,-0.09255533199195165,-1.6217303822937628,0.43058350100603615,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.39,-0.6317907444668007,-1.2917505030181085,-0.09255533199195165,-1.6217303822937628,0.3822937625754528,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.4,-0.6237424547283701,-1.2917505030181085,-0.09255533199195165,-1.6136820925553321,0.3822937625754528,0.035
