product_id,source_figure,representation,family_id,family_class,parameter_count_fixed_mode,parameter_count_descriptive_mode,rms_error,uncertainty_weighted_rms,max_error,peak_offset_delta_z,weighted_mean_offset_delta_z,support_overlap,high_z_support_capture,low_z_mismatch,transition_mismatch,explained_fraction_vs_zero,compression_efficiency_fixed_mode,aic_like_fixed_mode,bic_like_fixed_mode,aic_like_descriptive_mode,bic_like_descriptive_mode,fit_parameters
desi_dr2_desy5,fig_reconstruct,signed_history,gaussian_ln_a,smooth_pulse,2,2,0.7750534562398838,0.7873206083863997,1.3282020646386477,1.63,0.152608994780548,0.3860100447336219,0.46074497667553505,0.958336100243345,0.8724936302013993,-3.4192737696109017,-1.7096368848054508,1203.4865496785171,1210.5374555567807,1203.4865496785171,1210.5374555567807,{}
desi_dr2_desy5,fig_reconstruct,signed_history,logistic_pulse,smooth_pulse,2,2,0.7723425282695389,0.7819516432071438,1.348085549075465,1.63,0.15134796745572476,0.3906049640309263,0.4620489424565053,0.9556964635345457,0.8604269803795296,-3.3592066854458302,-1.6796033427229151,1187.1830429734428,1194.2339488517064,1187.1830429734428,1194.2339488517064,{}
desi_dr2_desy5,fig_reconstruct,signed_history,tomographic_3_bins,tomographic,3,3,0.3276802827718797,0.32617444405838636,0.7826086956521741,0.09,0.02350805086046548,0.5515158353870971,0.6129408178408704,0.28308906501828657,0.1513882400199991,0.24151406931561836,0.08050468977187279,211.8694978872991,222.44585670469445,211.8694978872991,222.44585670469445,"{""n_bins"": 3.0}"
desi_dr2_desy5,fig_reconstruct,signed_history,tomographic_5_bins,tomographic,5,5,0.217508161099137,0.20567787304871457,0.48593350383631695,0.09,0.012959240762103086,0.6755513923717721,0.7065962607521117,0.19208454490266696,0.1511134024782334,0.6984059197955226,0.1396811839591045,91.8591609226748,109.48642561833373,91.8591609226748,109.48642561833373,"{""n_bins"": 5.0}"
desi_dr2_desy5,fig_reconstruct,positive_support,zero_coupling,zero,0,0,0.477779660393177,0.477779660393177,1.0,2.0300000000000002,1.887362511980284,0.0,0.0,0.009176470588235291,0.06567246616956643,0.0,0.0,57.2966243752403,57.2966243752403,57.2966243752403,57.2966243752403,{}
desi_dr2_desy5,fig_reconstruct,positive_support,retained_gamma,retained,0,2,0.5241987702865685,0.5241987702865685,0.826490764808727,0.009999999999999787,0.481979341126211,0.4170646114720485,0.6968995481587583,0.6091142182987085,0.7140350145137178,-0.20375105506323887,-0.20375105506323887,68.9708720432576,68.9708720432576,72.9708720432576,80.02177792152116,{}
desi_dr2_desy5,fig_reconstruct,positive_support,logistic_transition,transition,2,2,0.1273590157831995,0.1273590157831995,0.41284240729573884,0.46999999999999975,0.008823159340580977,0.7756830266683032,0.8251560250451141,0.04519257398360073,0.08136808338194103,0.9289434571650451,0.46447172858252256,8.07130004421758,15.122205922481147,8.07130004421758,15.122205922481147,"{""center_ln_a"": -1.0335294490086786, ""center_z"": 1.8109695207291643, ""width_ln_a"": 0.17310924369747901}"
desi_dr2_desy5,fig_reconstruct,positive_support,gaussian_ln_a,smooth_pulse,2,2,0.13769946532779978,0.13769946532779978,0.49336523557264567,0.46999999999999975,0.04844427334128687,0.7772001101128105,0.8031801092536285,0.02006101006001642,0.047431854116254155,0.916936697710613,0.4584683488553065,8.759246830642045,15.810152708905612,8.759246830642045,15.810152708905612,"{""center_ln_a"": -1.252762968495368, ""center_z"": 2.5, ""width_ln_a"": 0.2618487394957983}"
desi_dr2_desy5,fig_reconstruct,positive_support,logistic_pulse,smooth_pulse,2,2,0.13699025549293767,0.13699025549293767,0.47742747747480807,0.46999999999999975,0.0066454865107543615,0.7654124517745913,0.8062859821798202,0.041339450690068266,0.07493117180435681,0.917790115797108,0.458895057898554,8.710348855105106,15.761254733368673,8.710348855105106,15.761254733368673,"{""center_ln_a"": -1.252762968495368, ""center_z"": 2.5, ""width_ln_a"": 0.17310924369747901}"
desi_dr2_desy5,fig_reconstruct,positive_support,tomographic_3_bins,tomographic,3,3,0.28496638938302854,0.28496638938302854,0.6901960784313724,0.7200000000000002,0.07896101679668344,0.6105158896071107,0.6889147738303242,0.07266804179482993,0.12918388530219221,0.6442606028744345,0.21475353429147817,26.382666612577964,36.959025429973316,26.382666612577964,36.959025429973316,"{""n_bins"": 3.0}"
