# w(z) comparison over z_desi grid
z,w_QFUDS_tanh,w_DESI_CPL
2.0100502512562817,-0.522189088986061,-1.367779632721202
2.022613065326633,-0.5083948885093251,-1.3691604322527016
2.035175879396985,-0.4947021850255805,-1.3705298013245033
2.0477386934673367,-0.4811301534791474,-1.3718878812860675
2.0603015075376887,-0.4676969450068786,-1.3732348111658457
2.0728643216080402,-0.4544196181235787,-1.3745707277187245
2.085427135678392,-0.44131408354920937,-1.3758957654723127
2.0979899497487438,-0.42839506252554205,-1.3772100567721006
2.1105527638190957,-0.41567605825388465,-1.378513731825525
2.1231155778894473,-0.4031693398956988,-1.3798069187449717
2.1356783919597992,-0.39088593841670755,-1.3810897435897436
2.148241206030151,-0.3788356534239362,-1.3823623304070232
2.1608040201005028,-0.3670270700441364,-1.3836248012718602
2.1733668341708543,-0.3554675848205971,-1.3848772763262074
2.1859296482412063,-0.3441634395618115,-1.3861198738170346
2.198492462311558,-0.33311976205771837,-1.3873527101335428
2.21105527638191,-0.3223406125845423,-1.3885758998435054
2.2236180904522613,-0.31182903514467275,-1.3897895557287607
2.2361809045226133,-0.3015871124303375,-1.3909937888198758
2.248743718592965,-0.29161602355588234,-1.3921887084300077
2.261306532663317,-0.28191610367012704,-1.3933744221879816
2.2738693467336684,-0.27248690463457836,-1.3945510360706064
2.2864321608040203,-0.26332725603254126,-1.3957186544342508
2.298994974874372,-0.2544353258559304,-1.3968773800456968
2.311557788944724,-0.2458086802987578,-1.3980273141122912
2.3241206030150754,-0.23744434216704408,-1.3991685563114133
2.3366834170854274,-0.22933884749281563,-1.4003012048192771
2.349246231155779,-0.22148830001376268,-1.4014253563390846
2.361809045226131,-0.2138884232491402,-1.40254110612855
2.3743718592964824,-0.2065346099660651,-1.4036485480268057
2.3869346733668344,-0.19942196888801073,-1.4047477744807122
2.399497487437186,-0.19254536854899296,-1.4058388765705838
2.412060301507538,-0.1858994782425334,-1.406921944035346
2.4246231155778895,-0.17947880605423205,-1.4079970652971388
2.4371859296482414,-0.17327773400079954,-1.40906432748538
2.449748743718593,-0.16729055032713191,-1.4101238164603058
2.462311557788945,-0.16151147903671276,-1.4111756168359941
2.4748743718592965,-0.15593470674979842,-1.4122198120028921
2.4874371859296485,-0.15055440699887063,-1.4132564841498558
2.5,-0.14536476208217675,-1.4142857142857141

# V1 density fractions Omega_i(a) vs a
a,z,Omega_radiation,Omega_baryon,Omega_QFUDS
