# S8 summary table
model,D_ratio,sigma8,S8,dS8_vs_LCDM
ΛCDM,1.0,0.81,0.8300030120427276,0.0
CP1 hand-tanh V2,0.8120011570422638,0.6577209372042337,0.6739634061272588,-0.15603960591546884
CP3 density-driven,0.8155979847354194,0.6606343676356898,0.6769487839463767,-0.15305422809635094

# fsigma8(z) curves
z,ΛCDM,CP1 hand-tanh V2,CP3 density-driven
0.1727236526390976,0.4612889560093927,0.37435790998705964,0.3760438715689195
0.17364091755387867,0.4614105278110669,0.3744563887760364,0.37614281804471755
0.17455961849927482,0.4615316962159878,0.3745545396056702,0.3762414351646953
0.17547975885020994,0.46165245976315883,0.3746523612888114,0.3763397217362767
0.17640134199219126,0.461772816989335,0.3747498526364829,0.3764376765650599
0.17732437132135215,0.4618927664290288,0.3748470124578827,0.3765352984548215
0.17824885024449255,0.4620123066145163,0.37494383956038946,0.3766325862075199
0.17917478217912142,0.4621314360758419,0.37504033274956566,0.37672953862329994
0.18010217055349864,0.46225015334082586,0.3751364908291619,0.37682615450049745
0.18103101880667816,0.4623684569350694,0.37523231260112166,0.3769224326356428
0.181961330388549,0.46248634538196143,0.3753277968655852,0.3770183718234661
0.18289310875987974,0.46260381720268406,0.37542294242089425,0.3771139708569012
0.18382635739235997,0.4627208709162202,0.3755177480635971,0.3772092285270908
0.18476107976864364,0.4628375050393584,0.3756122125884529,0.3773041436233908
0.18569727938239322,0.4629537180867011,0.3757063347924224,0.3773987149333756
0.18663495973832278,0.4630695085706694,0.3758001134816798,0.37749294124284266
0.1875741243522413,0.4631848750015119,0.3758935474449195,0.37758682133581767
0.18851477675109707,0.46329981588730956,0.37598663546745414,0.3776803539945595
0.18945692047302143,0.46341432973398355,0.376079376332982,0.377773537999566
0.19040055906737408,0.4635284150453023,0.3761717688235862,0.37786637212957896
0.19134569609478635,0.46364207032288834,0.37626381171973555,0.3779588551615893
0.192292335127207,0.4637552940662253,0.37635550380028476,0.37805098587084285
0.193240479747947,0.4638680847726659,0.3764468438424754,0.37814276303084626
0.19419013355172376,0.46398044093743823,0.37653783062193624,0.3782341854133723
0.19514130014470865,0.46409236105365415,0.37662846291268487,0.37832525178846543
0.19609398314457027,0.4642038436123166,0.37671873948712836,0.3784159609244487
0.19704818618052178,0.4643148871023268,0.37680865911606526,0.37850631158792886
0.19800391289336727,0.46442549001251315,0.37689822056868694,0.3785963025438025
0.19896116693554644,0.46453565083644627,0.3769874226125791,0.37868593255526306
0.19991995197118273,0.46464536805681134,0.37707626401372424,0.3787752003838057
0.20088027167612932,0.46475464015307555,0.3771647435365041,0.3788641047962882
0.20184212973801596,0.46486346560270553,0.3772528599437009,0.3789526445569819
0.2028055298562974,0.4649718428811719,0.3773406119965011,0.3790408184207942
0.20377047574229845,0.4650797704619562,0.37742799845449737,0.3791286251410511
0.20473697111926414,0.4651872468165577,0.3775150180756921,0.37921606346950193
0.2057050197224064,0.4652942704145,0.37760166961649994,0.37930313215632255
0.20667462529895175,0.46540083972333657,0.3776879518317516,0.3793898299501198
0.20764579160819108,0.46550695320865976,0.3777738634746972,0.37947615559793496
0.20861852242152645,0.46561260933410586,0.3778594032970093,0.37956210784524913
0.20959282152252157,0.46571780656136386,0.37794457004878806,0.37964768543598654
0.21056869270694945,0.46582254335018175,0.37802936247856406,0.3797328871125199
0.2115461397828431,0.4659268181583744,0.37811377933330276,0.37981771161567457
0.21252516657054366,0.466030629441831,0.3781978193584098,0.37990215768473407
0.2135057769027513,0.46613397565452325,0.37828148129773403,0.37998622405744426
0.21448797462457425,0.46623685524851277,0.37836476389357376,0.38006990947001895
0.2154717635935799,0.4663392666739587,0.37844766588668033,0.3801532126571452
0.21645714767984536,0.46644120837912756,0.3785301860162645,0.38023613235198817
0.2174441307660071,0.4665426788103992,0.37861232302000064,0.3803186672861973
0.21843271674731302,0.46664367641227716,0.3786940756340328,0.3804008161899119
0.21942290953167332,0.4667441996273963,0.3787754425929835,0.3804825777917661
0.22041471303971183,0.4668442468965313,0.3788564226303371,0.38056395081889605
0.2214081312048184,0.4669438166586064,0.3789370144778879,0.38064493399694466
0.22240316797320014,0.4670429073507034,0.3790172168656424,0.3807255260500692
0.2233998273039337,0.46714151740807147,0.3790970285221104,0.3808057257009464
0.22439811316901848,0.4672396452641355,0.3791764481743123,0.3808855316707796
0.22539802955342858,0.4673372893505065,0.3792554745477856,0.3809649426793047
0.22639958045516684,0.4674344480969904,0.37933410636659065,0.38104395744479774
0.2274027698853167,0.4675311199315977,0.3794123423533184,0.3811225746840814
0.2284076018680974,0.4676273032805532,0.37949018122909745,0.38120079311253113
0.22941408044091594,0.46772299656830674,0.37956762171360026,0.38127861144408404
0.23042220965442284,0.4678181982175414,0.3796446625250514,0.3813560283912443
0.23143199357256572,0.4679129066491855,0.37972130238023466,0.3814330426650914
0.23244343627264374,0.4680071202824215,0.3797975399945011,0.3815096529752878
0.2334565418453629,0.46810083753469695,0.37987337408177624,0.3815858580300862
0.23447131439489088,0.46819405682173515,0.37994880335456876,0.38166165653633705
0.23548775803891253,0.4682867765575458,0.38002382652397815,0.381737047199497
0.23650587690868585,0.4683789951544349,0.3800984422997036,0.3818120287236365
0.2375256751490975,0.4684707110240963,0.3801726493900519,0.38188659981352646
0.23854715691871942,0.46856192258343426,0.3802464465019465,0.3819607591939422
0.2395703263898652,0.46865262824039366,0.3803198323409362,0.38203450556855734
0.24059518774864674,0.46874282639948955,0.38039280561120414,0.3821078376325049
0.24162174519503155,0.4688325154636513,0.38046536501557726,0.38218075407978097
0.24265000294290018,0.4689216938342306,0.3805375092555351,0.3822532536032464
0.24367996522010382,0.4690103599110126,0.3806092370312194,0.38232533489462844
0.24471163626852244,0.469098512092225,0.38068054704144433,0.3823969966445237
0.2457450203441216,0.4691861487745485,0.38075143798370537,0.3824682375424003
0.24678012171701336,0.4692732683531261,0.38082190855418974,0.38253905627660023
0.24781694467151372,0.46935986922157497,0.3808919574477868,0.382609451534343
0.2488554935062013,0.4694459497719955,0.38096158335809743,0.3826794220017282
0.24989577253397832,0.4695315083949823,0.3810307849774453,0.38274896636373923
0.250937786082128,0.4696165434796356,0.3810995609968874,0.3828180833042468
0.25198153849237714,0.46970105341357127,0.3811679101062239,0.382886771506013
0.2530270341209544,0.4697850365829324,0.3812358309940099,0.3829550296506953
0.25407427733865195,0.46986849137240033,0.3813033223475661,0.3830228564188503
