# fsig8(z): model curves and approximate RSD data
z,fsig8_LCDM,fsig8_QFUDS_ceff2_3e-5,fsig8_QFUDS_ceff2_1
0.21521739130434783,0.4663128475851928,0.42964070099772267,0.38013914613338307
0.22073578595317725,0.46687649762997424,0.4300945940024702,0.3805976112992171
0.2262541806020067,0.46742038267120917,0.43053131516124327,0.3810399549997421
0.2317725752508361,0.46794470316513387,0.4309510325366048,0.3814663407792209
0.23729096989966555,0.4684496602086891,0.43135391510838733,0.38187693265121875
0.24280936454849497,0.46893545537562165,0.43174013268441364,0.3822718950322296
0.24832775919732442,0.46940229063063205,0.43210985560675774,0.38265139267960524
0.25384615384615383,0.4698503683046769,0.4324632548272886,0.3830155906315634
0.25936454849498325,0.47027989101049394,0.4328005018489964,0.38336465414439025
0.2648829431438127,0.47069106156522117,0.43312176864442176,0.3836987486482724
0.27040133779264214,0.47108408291600484,0.4334272275795319,0.38401803966630965
0.27591973244147155,0.47145915806372374,0.43371705133986,0.38432269274913433
0.281438127090301,0.47181649002846276,0.4339914128573066,0.38461287343685463
0.28695652173913044,0.4721562817961853,0.43425048523804005,0.384888747204029
0.29247491638795986,0.47247873608407875,0.43449444178772745,0.3851504794055821
0.2979933110367893,0.47278405538193263,0.4347234559289606,0.385398235223337
0.30351170568561875,0.47307244191676434,0.4349377007837098,0.38563217961451485
0.30903010033444817,0.4733440975888443,0.4351373494168726,0.3858524772638594
0.3145484949832776,0.4735992239099433,0.43532257476819175,0.38605929253790267
0.320066889632107,0.473838021943998,0.4354935495960242,0.38625278950064523
0.32558528428093647,0.47406069224306857,0.4356504464167854,0.38643313171404586
0.3311036789297659,0.47426743485728134,0.4357934374489248,0.38660048225774885
0.3366220735785953,0.4744584492693313,0.4359226945567189,0.386755003722261
0.3421404682274247,0.4746339341480533,0.4360383891974027,0.3868968581642207
0.3476588628762542,0.47479408743794155,0.4361406924204134,0.387026207064018
0.3531772575250836,0.4749391063421547,0.43622977494993287,0.38714321128758444
0.358695652173913,0.4750691872731916,0.43630580667833385,0.38724803104411964
0.3642140468227425,0.47518452580626414,0.43636895683451954,0.38734082589117674
0.3697324414715719,0.47528531663486795,0.43641939404156405,0.38742175468606477
0.37525083612040133,0.475371753526289,0.4364572862619066,0.38749097543088806
0.38076923076923075,0.47544402930211527,0.43648280075527635,0.38754864533692507
0.3862876254180602,0.47550233585945817,0.436496104038293,0.3875949208060911
0.39180602006688964,0.47554686394887175,0.4364973618451998,0.3876299574000037
0.39732441471571905,0.4755778031929608,0.43648673909124114,0.38765390980965964
0.40284280936454847,0.47559534212908594,0.43646439983519564,0.38766693182721973
0.40836120401337794,0.4755996681654646,0.43643050733315686,0.3876691763190683
0.41387959866220736,0.4755909675498369,0.4363852240611223,0.3876607952303578
0.4193979933110368,0.4755694253381834,0.43632871120430505,0.3876419395702029
0.4249163879598662,0.47553522537108905,0.43626112897904384,0.3876127592321834
0.43043478260869567,0.47548855022423425,0.43618263661290346,0.38757340309992805
0.4359531772575251,0.475429581324995,0.43609339232298666,0.3875240190260177
0.4414715719063545,0.47535849882114545,0.4359935532857681,0.3874647538134016
0.44698996655518397,0.47527548133534037,0.4358832756115891,0.38739575319499786
0.4525083612040134,0.4751807061367479,0.4357627143202603,0.3873171618149569
0.4580267558528428,0.475074349161892,0.43563202331835654,0.387229123210428
0.4635451505016722,0.47495658498602117,0.4354913553702116,0.3871317798101366
0.4690635451505017,0.47482758680347076,0.43534086214014667,0.3870252729684808
0.4745819397993311,0.47468752640828843,0.4351806942743136,0.3869097427942301
0.4801003344481605,0.4745365741770323,0.435011000997742,0.38678532820861056
0.48561872909698994,0.4743748990493586,0.4348319302476774,0.38665216696979043
0.4911371237458194,0.47420266853029686,0.43464362877149565,0.38651039565712725
0.49665551839464883,0.4740200486632512,0.4344462420960068,0.3863601496604947
0.5021739130434782,0.4738272039924795,0.43423991451575966,0.38620156316896254
0.5076923076923077,0.47362429757292257,0.4340247890780765,0.3860347691629564
0.5132107023411371,0.473411490965438,0.43380100757043905,0.38585989940005583
0.5187290969899665,0.47318894422631835,0.4335687105087222,0.38567708446375604
0.524247491638796,0.4729568158990005,0.4333280371267741,0.38548645372225554
0.5297658862876254,0.4727152630067073,0.43307912536676146,0.3852881351910255
0.5352842809364549,0.4724644410462971,0.4328221119331251,0.3850822556442027
0.5408026755852843,0.4722045039791233,0.43255713233177534,0.3848689406190717
0.5463210702341137,0.47193560425778247,0.4322843205080946,0.3846483144098159
0.5518394648829431,0.4716578929679866,0.43200380909155073,0.3844205000627004
0.5573578595317725,0.4713715194377061,0.43171572939971614,0.3841856193721411
0.562876254180602,0.47107663136270883,0.4314202114363088,0.3839437928782652
0.5683946488294315,0.47077337492118454,0.4311173838847203,0.3836951398619782
0.5739130434782609,0.4704618947617333,0.430807374104182,0.38343977841257443
0.5794314381270903,0.47014233400275696,0.4304903081264947,0.3831778254031606
0.5849498327759197,0.4698148342296942,0.4301663106526543,0.38290939626143483
0.5904682274247491,0.46947953549401356,0.42983550505441215,0.3826346051739557
0.5959866220735786,0.46913657631275807,0.42949801336038934,0.3823535650801273
0.601505016722408,0.46878609366906127,0.4291539563094923,0.3820663876760934
0.6070234113712375,0.46842822301295156,0.4288034533889595,0.3817731834132558
0.6125418060200669,0.468063098264501,0.42844662263369937,0.38147406149890023
0.6180602006688963,0.46769085181250375,0.4280835806889083,0.3811691298980545
0.6235785953177257,0.46731161462030646,0.4277144428913436,0.3808584953324274
0.6290969899665552,0.4669255161916223,0.42733932325926555,0.38054226329464685
0.6346153846153846,0.4665326842697414,0.4269583344973699,0.3802205380603814
0.640133779264214,0.46613324510434806,0.42657158799847794,0.3798934226413942
0.6456521739130435,0.4657273234458798,0.42617919384678626,0.3795610188111806
0.6511705685618729,0.46531504255651135,0.425781260821373,0.37922342712387697
0.6566889632107024,0.4648965242134826,0.4253778964002672,0.3788807469172006
0.6622073578595318,0.4644718887150368,0.4249692067649649,0.37853307631768834
0.6677257525083612,0.46404125488634174,0.4245552968053902,0.37818051224596305
0.6732441471571906,0.4636047400860009,0.42413627014909533,0.377823150422451
0.67876254180602,0.4631624602129272,0.4237122292048078,0.3774610853731922
0.6842809364548494,0.4627145297133804,0.42328327499620794,0.3770944104382438
0.689799331103679,0.4622610615905691,0.42284950726957315,0.3767232177482752
0.6953177257525084,0.46180216740405844,0.42241102451830087,0.3763475982428014
0.7008361204013378,0.46133795734261424,0.42196792398673033,0.37596764175894726
0.7063545150501672,0.460868540207548,0.4215203016779657,0.3755834369848817
0.7118729096989966,0.4603940232935516,0.42106825236048434,0.37519507144694836
0.717391304347826,0.4599145124593264,0.4206118695755812,0.37480263152517884
0.7229096989966555,0.4594301121917774,0.4201512456450894,0.37440620246018597
0.728428093645485,0.45894092559872873,0.41968647167877776,0.37400586836223104
0.7339464882943144,0.4584470544234607,0.41921763758410574,0.3736017122223721
0.7394648829431438,0.457948599052917,0.4187448320698202,0.3731938159148132
0.7449832775919732,0.45744565852809693,0.4182681426674933,0.3727822601715854
0.7505016722408027,0.4569383305541182,0.41778765576238336,0.3723671246187385
0.7560200668896321,0.4564267115105813,0.41730345654173123,0.37194848790115054
0.7615384615384615,0.4559108964614138,0.416815629004446,0.37152642757591026
0.7670568561872909,0.45539097916540144,0.41632425600244516,0.3711010201281116
0.7725752508361204,0.454867052089503,0.41582941924981126,0.3706723409811636
0.7780936454849499,0.45433920641211434,0.4153311993313482,0.37024046450636294
0.7836120401337793,0.45380753207501323,0.41482967571246304,0.3698054640336242
0.7891304347826087,0.45327211775625026,0.41432492674852384,0.36936741186157146
0.7946488294314381,0.45273305084876175,0.4138170296946229,0.36892637926740063
0.8001672240802675,0.45219041750492583,0.4133060607153594,0.36848243647447065
0.8056856187290969,0.4516443026554351,0.4127920948947511,0.36803565267638194
0.8112040133779265,0.4510947900190358,0.41227520624588054,0.36758609619514604
0.8167224080267559,0.4505419621126265,0.41175546771942356,0.3671338343616596
0.8222408026755853,0.44998590026402685,0.4112329512154731,0.36667893352836944
0.8277591973244147,0.4494266846243219,0.41070772760220453,0.36622145908118525
0.8332775919732441,0.4488643941796659,0.41017986671059836,0.3657614754488983
0.8387959866220736,0.4482991067631254,0.4096494373445345,0.36529904611521863
0.844314381270903,0.4477308990665771,0.4091165073003266,0.3648342336276309
0.8498327759197324,0.4471598466526338,0.40858114337540247,0.36436709961113634
0.8553511705685619,0.44658602396571795,0.4080434113784161,0.3638977047628318
0.8608695652173913,0.44600950434126724,0.4075033761370605,0.3634261087931105
0.8663879598662207,0.4454303600192892,0.40696110151053366,0.362952370620854
0.8719063545150502,0.4448486621527655,0.40641665040071095,0.3624765483158702
0.8774247491638796,0.44426448082820436,0.4058700847625701,0.3619986990624021
0.882943143812709,0.4436778850796814,0.4053214656147211,0.3615188791771229
0.8884615384615384,0.44308894289386824,0.4047708530497402,0.36103714411712373
0.8939799331103679,0.44249772122161646,0.40421830624307603,0.36055354849002647
0.8994983277591974,0.44190428598620834,0.40366388346144266,0.36006814606253595
0.9050167224080268,0.4413087020990481,0.4031076420699043,0.3595809897688665
0.9105351170568562,0.4407110334723812,0.40254963854880393,0.3590921317405263
0.9160535117056856,0.44011134303116006,0.40198992850924753,0.3586016232404825
0.921571906354515,0.439509692724908,0.40142856670129895,0.3581095146983297
0.9270903010033444,0.43890614353813734,0.40086560701865753,0.3576158558772862
0.9326086956521739,0.43830075549664954,0.4003011025053239,0.3571206957683032
0.9381270903010034,0.437693587683777,0.3997351053693773,0.35662408258523554
0.9436454849498328,0.43708469825239354,0.3991676669948717,0.3561260637769362
0.9491638795986622,0.43647414444061655,0.398598837952078,0.35562668603763414
0.9546822742474916,0.43586198257606373,0.3980286680075992,0.35512599531742056
0.960200668896321,0.43524826806529937,0.3974572061310414,0.35462403682926097
0.9657190635451505,0.4346330554291073,0.39688450050152146,0.35412085505349095
0.9712374581939799,0.434016398341137,0.3963105985232474,0.3536164937640846
0.9767558528428094,0.43339834962100726,0.3957355468361644,0.3531109959985623
