# z* -> z_obs lag table
z_star,z_obs,lag_dz,w_at_z0
2.0,0.5296507928588399,1.4703492071411601,-0.9999999662166663
2.5,0.7808416842260195,1.7191583157739805,-0.9999999999548652
3.0,1.0377672457616818,1.9622327542383182,-0.999999999999861
4.0,1.5509582549608,2.4490417450392,-1.0
5.0,2.0531094339429767,2.9468905660570233,-1.0

# w_best curve for z_star=5.0 (observed transition at z~2)
a,z,w_best
0.0014879429949838817,671.0687575876068,-9.999999999999998e-05
0.0014930936330561238,668.7503611700225,-9.999999999999998e-05
0.0014982621004891955,666.4399623894186,-9.999999999999998e-05
0.0015034484590009064,664.1375336568136,-9.999999999999998e-05
0.0015086527705227117,661.8430474783963,-9.999999999999998e-05
0.001513875097200442,659.5564764552017,-9.999999999999998e-05
0.0015191155013950558,657.2777932827792,-9.999999999999998e-05
0.0015243740456833748,655.0069707508707,-9.999999999999998e-05
0.0015296507928588402,652.7439817430817,-9.999999999999998e-05
0.0015349458059322528,650.4887992365618,-9.999999999999998e-05
0.0015402591481325357,648.2413963016776,-9.999999999999998e-05
0.0015455908829074803,646.0017461016948,-9.999999999999998e-05
0.001550941073924508,643.7698218924564,-9.999999999999998e-05
0.0015563097850714335,641.5455970220612,-9.999999999999998e-05
0.00156169708045722,639.32904493055,-9.999999999999998e-05
0.0015671030244127542,637.1201391495836,-9.999999999999998e-05
0.001572527681491604,634.9188533021313,-9.999999999999998e-05
0.0015779711164708003,632.7251611021517,-9.999999999999998e-05
0.0015834333943515997,630.5390363542825,-9.999999999999998e-05
0.0015889145803602719,628.3604529535245,-9.999999999999998e-05
0.0015944147399488675,626.1893848849326,-9.999999999999998e-05
0.001599933938796006,624.025806223304,-9.999999999999998e-05
0.0016054722428076624,621.869691132867,-9.999999999999998e-05
0.0016110297181179453,619.7210138669763,-9.999999999999998e-05
0.0016166064310898973,617.579748767801,-9.999999999999998e-05
0.0016222024483162772,615.4458702660226,-9.999999999999998e-05
0.0016278178366203654,613.3193528805256,-9.999999999999998e-05
0.0016334526630567509,611.2001712180974,-9.999999999999998e-05
0.0016391069949121435,609.0882999731206,-9.999999999999998e-05
0.0016447808997061657,606.9837139272754,-9.999999999999998e-05
0.001650474445192171,604.8863879492337,-9.999999999999998e-05
0.00165618769935804,602.7962969943643,-9.999999999999998e-05
0.0016619207304270059,600.713416104428,-9.999999999999998e-05
0.0016676736068584573,598.6377204072849,-9.999999999999998e-05
0.0016734463973487608,596.5691851165947,-9.999999999999998e-05
0.0016792391708320854,594.5077855315194,-9.999999999999998e-05
0.0016850519964812156,592.4534970364326,-9.999999999999998e-05
0.0016908849437083896,590.4062951006206,-9.999999999999998e-05
0.001696738082166115,588.3661552779938,-9.999999999999998e-05
0.001702611481748014,586.3330532067912,-9.999999999999998e-05
0.0017085052125896455,584.3069646092929,-9.999999999999998e-05
0.0017144193450693537,582.2878652915264,-9.999999999999998e-05
0.0017203539498090994,580.2757311429813,-9.999999999999998e-05
0.0017263090976753072,578.2705381363199,-9.999999999999998e-05
0.0017322848597797155,576.2722623270887,-9.999999999999998e-05
0.0017382813074802166,574.280879853436,-9.999999999999998e-05
0.00174429851238172,572.2963669358226,-9.999999999999998e-05
0.0017503365463369953,570.3186998767426,-9.999999999999998e-05
0.0017563954814475422,568.347855060436,-9.999999999999998e-05
0.0017624753900644403,566.3838089526105,-9.999999999999998e-05
0.001768576344789224,564.4265381001567,-9.999999999999998e-05
0.00177469841847474,562.4760191308715,-9.999999999999998e-05
0.0017808416842260203,560.5322287531778,-9.999999999999998e-05
