a,D_over_a_LCDM,D_over_a_V2,fsig8_LCDM,fsig8_V2
0.3093456728364182,0.8917551967417201,0.7261457214376222,0.3038222319650115,0.24403428061632343
0.3098454227113556,0.8917060784845336,0.7260903852270133,0.30424783052210796,0.24439555025645013
0.3103451725862931,0.8916568206869973,0.7260350765251622,0.3046730388980732,0.24475652490898264
0.3108449224612306,0.8916074232084055,0.7259797943374444,0.3050978560004194,0.24511720152504046
0.311344672336168,0.8915578859030613,0.7259245376663048,0.30552228088434485,0.245477577132701
0.31184442221110553,0.8915082086276643,0.7258693055118229,0.3059463126852111,0.24583764883477158
0.312344172086043,0.8914583912401423,0.7258140968700583,0.306369950657902,0.24619741381084978
0.31284392196098043,0.8914084336002661,0.7257589107373483,0.30679319417713524,0.2465568693536295
0.31334367183591794,0.8913583355702224,0.7257037461073926,0.3072160427624072,0.24691601277241568
0.3138434217108554,0.8913080970141029,0.7256486019713458,0.30763849590726744,0.24727484130124808
0.3143431715857929,0.8912577177953296,0.72559347732005,0.30806055261584714,0.2476333520408697
0.31484292146073034,0.8912071977841112,0.7255383711455524,0.30848221148498134,0.24799154194474496
0.3153426713356678,0.891156536844441,0.725483282439091,0.3089034712322462,0.24834940785946313
0.3158424212106053,0.8911057348359336,0.725428210182767,0.3093243307217898,0.24870694662998252
0.31634217108554274,0.8910547916234086,0.7253731533431624,0.3097447888633203,0.2490641552530974
0.3168419209604802,0.8910037070702207,0.7253181109042718,0.310164844702826,0.24942103082686523
0.3173416708354177,0.8909524810404716,0.7252630818435761,0.31058449739795435,0.249777570516042
0.31784142071035515,0.8909011133994926,0.7252080651361343,0.31100374621928983,0.25013377154762156
0.3183411705852926,0.8908496040138748,0.7251530597561906,0.31142259055499316,0.25048963123056633
0.3188409204602301,0.8907979527535693,0.725098064677684,0.3118410298966625,0.25084514697730687
0.31934067033516755,0.8907461594891997,0.7250430788743291,0.312259063701936,0.25120031620132566
0.319840420210105,0.8906942240942698,0.7249881013191252,0.3126766909558692,0.251555136017627
0.3203401700850425,0.8906421464440871,0.7249331309833946,0.313093910339838,0.25190960336150153
0.32083991995997996,0.8905899264082737,0.7248781668365212,0.3135107207211126,0.2522637152471283
0.3213396698349174,0.8905375638531399,0.7248232078464178,0.3139271210624653,0.2526174687617679
0.3218394197098549,0.8904850586547738,0.7247682529798996,0.31434310987435493,0.252970861066825
0.32233916958479236,0.8904324106821181,0.7247133012030533,0.31475868640864463,0.25332388939891076
0.3228389194597298,0.8903796198065531,0.7246583514816939,0.3151738498377241,0.25367655107162124
0.3233386693346673,0.8903266859006654,0.7246034027815784,0.3155885994180169,0.2540288434732488
0.32383841920960477,0.8902736088386715,0.7245484540684616,0.31600293452142436,0.25438076408014676
0.3243381690845422,0.8902203884969344,0.7244935043091911,0.31641685464826996,0.2547323104423481
0.3248379189594797,0.8901670247540981,0.7244385524710538,0.31683035932898557,0.255083480086071
0.32533766883441717,0.890113517490507,0.7243835975228687,0.31724344766031604,0.2554342704330606
0.3258374187093546,0.8900598665860664,0.7243286384353934,0.3176561182951561,0.25578467877215405
0.3263371685842921,0.890006071919565,0.7242736741780929,0.3180683699857125,0.2561347023124329
0.3268369184592296,0.8899521333691881,0.7242187037143073,0.31848020158070717,0.25648433833855383
0.327336668334167,0.8898980508129257,0.7241637260143383,0.3188916120264681,0.25683358427423303
0.32783641820910453,0.8898438241289821,0.7241087400478402,0.3193026003680184,0.2571824376041372
0.328336168084042,0.8897894531961804,0.7240537447851106,0.31971316575016384,0.25753089588875316
0.3288359179589795,0.8897349378943658,0.7239987391978303,0.32012330741858425,0.25787895676647665
0.32933566783391693,0.8896802781036369,0.7239437222594153,0.3205330247325636,0.2582266179569785
0.3298354177088544,0.8896254737088855,0.7238886929453534,0.3209423171167253,0.2585738772616057
0.3303351675837919,0.8895705245955504,0.7238336502335108,0.32135118409200353,0.258920732555462
0.33083491745872934,0.8895154306496248,0.7237785931042643,0.32175962491210147,0.2592671816402495
0.3313346673336668,0.8894601917587905,0.7237235205396535,0.3221676384638976,0.2596132220468908
0.3318344172086043,0.8894048078109429,0.7236684315229235,0.32257522346346573,0.25995885134629837
0.33233416708354174,0.8893492786921692,0.7236133250388379,0.32298237873440555,0.2603040671861135
0.3328339169584792,0.8892936042862266,0.7235582000740008,0.3233891033525759,0.26064886729166703
0.3333336668334167,0.8892377844775352,0.723503055617177,0.3237953964387167,0.2609932494669381
0.33383341670835415,0.889181819157203,0.7234478906596102,0.32420125665330785,0.26133721159551104
0.3343331665832916,0.8891257082110282,0.7233927041953412,0.32460668333248105,0.2616807516415319
0.3348329164582291,0.8890694515254215,0.7233374952215221,0.3250116758722545,0.2620238676506613
0.33533266633316655,0.889013048990147,0.7232822627387314,0.32541623369983785,0.2623665577510273
0.335832416208104,0.8889565004964909,0.7232270057512852,0.32582035626314865,0.2627088201541748
0.3363321660830415,0.8888998059378315,0.7231717232675361,0.32622404292110896,0.2630506531263916
0.33683191595797896,0.8888429652104781,0.7231164142995373,0.32662729285086484,0.2633920547003046
0.3373316658329164,0.8887859782130492,0.7230610778622018,0.3270301050042984,0.2637330228058278
0.3378314157078539,0.8887288448426852,0.7230057129733617,0.3274324781465812,0.26407355544843253
0.33833116558279136,0.8886715649865644,0.7229503186540204,0.3278344110104219,0.2644136507127978
0.3388309154577288,0.888614138533507,0.7228948939286512,0.3282359025769331,0.2647533067642275
0.3393306653326663,0.888556565382297,0.7228394378255252,0.3286369519610481,0.265092521849646
0.33983041520760376,0.8884988454273136,0.7227839493770373,0.32903755832732784,0.2654312942983657
0.3403301650825412,0.8884409785638764,0.7227284276200162,0.32943772093063717,0.2657696225228184
0.3408299149574787,0.888382964688581,0.722672871595987,0.3298374391170627,0.26610750501944824
0.34132966483241617,0.8883248036996294,0.7226172803513699,0.3302367123248296,0.2664449403699639
0.3418294147073536,0.8882664954971742,0.7225616529378872,0.3306355400879224,0.26678192725713495
0.3423291645822911,0.8882080399834976,0.7225059884124773,0.3310339218780434,0.26711846432745373
0.3428289144572286,0.8881494370617202,0.7224502858370446,0.3314318565836703,0.26745454997503365
0.343328664332166,0.8880906866343036,0.722394544278696,0.3318293429859212,0.26779018257991766
0.3438284142071035,0.8880317886023612,0.7223387628077197,0.3322263799412615,0.2681253605780886
0.344328164082041,0.8879727428673092,0.7222829404977099,0.3326229663935754,0.2684600824889319
0.3448279139569784,0.8879135493319267,0.722227076427035,0.3330191013646494,0.2687943469221264
0.34532766383191593,0.8878542078982108,0.7221711696805931,0.33341478397241797,0.26912815257300116
0.3458274137068534,0.8877947184689998,0.7221152193508166,0.33381001341740996,0.26946149821550835
0.3463271635817909,0.8877350809449212,0.7220592245368945,0.334204788947916,0.2697943827020652
0.34682691345672834,0.887675295233327,0.7220031843411957,0.3345991099951002,0.2701268049796258
0.3473266633316658,0.8876153612423753,0.721947097865503,0.3349929760413719,0.2704587641128379
