z,E_LCDM,E_V1,E_V2,dmu_V1,dmu_V2
1.6352705410821644,2.540487386847225,1.3693595582716915,2.543766172484346,0.6721813621970725,-0.00019735334652182246
1.6472945891783568,2.5560568616719026,1.3744902063358164,2.5595502562778187,0.6756624885871219,-0.00020921808076934667
1.659318637274549,2.5716729321731857,1.3796783781918265,2.575391925368299,0.6791169528275702,-0.00022164391352674784
1.6713426853707414,2.587335391518411,1.384925041004131,2.5912913082737106,0.682544716992254,-0.00023464763545177902
1.6833667334669338,2.60304403537414,1.390231148856338,2.6072485299404384,0.6859457438064283,-0.00024824594514427645
1.6953907815631262,2.6187986618675465,1.3955976388497637,2.623263710389283,0.6893199969337545,-0.00026245540758651487
1.7074148296593186,2.6345990715483656,1.4010254271228535,2.6393369633463486,0.6926674412806832,-0.00027729241135432403
1.719438877755511,2.6504450673514244,1.406515404821151,2.6554683948691387,0.695988043316305,-0.00029277312504660813
1.7314629258517034,2.6663364545597377,1.4120684340497622,2.6716581019787644,0.6992817714059214,-0.00030891345304695506
1.7434869739478958,2.682273040768172,1.4176853438323087,2.6879061713059453,0.7025485961565394,-0.00032572899068128436
1.7555110220440882,2.6982546358476656,1.4233669261810415,2.7042126777889393,0.7057884907715106,-0.0003432349794252332
1.7675350701402806,2.714281051910003,1.429113932106804,2.7205776833565025,0.7090014314126094,-0.00036144626200496077
1.779559118236473,2.730352103273144,1.4349270679520971,2.737001235739516,0.7121873975665736,-0.0003803772379313841
1.7915831663326653,2.7464676064270965,1.4408069917378488,2.7534833672916204,0.7153463724133857,-0.00040004181965258567
1.8036072144288577,2.762627380000326,1.446754309767885,2.7700240939093486,0.7184783431937376,-0.00042045338965834844
1.8156312625250501,2.778831244726704,1.45276957345677,2.786623414036426,0.7215833015727569,-0.00044162475884235164
1.8276553106212425,2.79507902341298,1.4588532764238593,2.8032813077662095,0.7246612439972537,-0.0004635681262001867
1.839679358717435,2.811370540906781,1.4650058518841926,2.819997736051572,0.7277121720433684,-0.0004862950406021582
1.8517034068136273,2.827705624065125,1.4712276703634448,2.836772640030317,0.7307360927520605,-0.0005098163643069142
1.8637274549098197,2.844084101723443,1.4775190377608662,2.8536059404730207,0.7337330189497138,-0.0005341422390543471
1.875751503006012,2.8605058046651095,1.4838801937799166,2.8704975373587143,0.7367029695509046,-0.0005592820545388122
1.8877755511022043,2.8769705655914706,1.490311310741923,2.887447309582333,0.739645969841412,-0.0005852444197671502
1.8997995991983967,2.8934782190923576,1.4968124927933966,2.904455114796226,0.7425620517387372,-0.0006120371372801969
1.911823647294589,2.9100286016170966,1.503383775512758,2.9215207893864203,0.745451254028211,-0.0006396671806214727
