z_star,omega_m0,c_eff2,S8,chi2_fsigma8,chi2_S8,chi2_total,dmu_gate_mag
4.0,0.29,2.154435e-03,0.5327,79.162,129.122,208.285,0.0422
4.0,0.29,4.641589e-03,0.5288,81.175,133.679,214.853,0.0422
4.0,0.29,1.000000e-02,0.5268,82.192,135.989,218.180,0.0422
4.0,0.31,1.000000e-07,0.9448,49.542,85.335,134.877,0.0078
4.0,0.31,2.154435e-07,0.9313,40.857,73.347,114.204,0.0078
4.0,0.31,4.641589e-07,0.9082,28.617,54.938,83.555,0.0078
4.0,0.31,1.000000e-06,0.8746,16.236,32.829,49.066,0.0078
4.0,0.31,2.154435e-06,0.8336,8.776,13.545,22.321,0.0078
4.0,0.31,4.641589e-06,0.7906,8.066,2.338,10.403,0.0078
4.0,0.31,1.000000e-05,0.7491,12.423,0.297,12.720,0.0078
4.0,0.31,2.154435e-05,0.7106,19.719,6.090,25.809,0.0078
4.0,0.31,4.641589e-05,0.6758,28.532,17.705,46.237,0.0078
4.0,0.31,1.000000e-04,0.6454,37.834,32.842,70.676,0.0078
4.0,0.31,2.154435e-04,0.6202,46.637,48.885,95.522,0.0078
4.0,0.31,4.641589e-04,0.6010,53.984,63.181,117.166,0.0078
4.0,0.31,1.000000e-03,0.5881,59.276,73.877,133.153,0.0078
4.0,0.31,2.154435e-03,0.5804,62.561,80.658,143.219,0.0078
4.0,0.31,4.641589e-03,0.5762,64.368,84.432,148.800,0.0078
4.0,0.31,1.000000e-02,0.5741,65.286,86.359,151.646,0.0078
4.0,0.33,1.000000e-07,0.9854,56.291,127.041,183.332,0.0301
4.0,0.33,2.154435e-07,0.9727,47.556,113.078,160.634,0.0301
4.0,0.33,4.641589e-07,0.9507,34.845,90.955,125.800,0.0301
4.0,0.33,1.000000e-06,0.9185,21.111,62.780,83.891,0.0301
4.0,0.33,2.154435e-06,0.8788,11.335,35.304,46.639,0.0301
4.0,0.33,4.641589e-06,0.8369,7.840,14.801,22.642,0.0301
4.0,0.33,1.000000e-05,0.7964,9.432,3.304,12.736,0.0301
4.0,0.33,2.154435e-05,0.7585,14.169,0.005,14.175,0.0301
4.0,0.33,4.641589e-05,0.7241,20.681,3.221,23.903,0.0301
4.0,0.33,1.000000e-04,0.6938,27.988,10.966,38.955,0.0301
4.0,0.33,2.154435e-04,0.6685,35.175,20.953,56.128,0.0301
4.0,0.33,4.641589e-04,0.6491,41.344,30.770,72.114,0.0301
4.0,0.33,1.000000e-03,0.6358,45.884,38.544,84.428,0.0301
4.0,0.33,2.154435e-03,0.6279,48.745,43.644,92.389,0.0301
4.0,0.33,4.641589e-03,0.6236,50.335,46.537,96.873,0.0301
4.0,0.33,1.000000e-02,0.6214,51.147,48.030,99.178,0.0301
5.0,0.29,1.000000e-07,0.8919,38.340,43.511,81.851,0.0461
5.0,0.29,2.154435e-07,0.8799,31.153,35.927,67.080,0.0461
5.0,0.29,4.641589e-07,0.8597,21.414,24.854,46.268,0.0461
5.0,0.29,1.000000e-06,0.8313,12.272,12.712,24.983,0.0461
5.0,0.29,2.154435e-06,0.7985,7.595,3.698,11.293,0.0461
5.0,0.29,4.641589e-06,0.7660,7.971,0.090,8.061,0.0461
5.0,0.29,1.000000e-05,0.7364,11.439,1.397,12.837,0.0461
5.0,0.29,2.154435e-05,0.7099,16.286,6.287,22.573,0.0461
5.0,0.29,4.641589e-05,0.6863,21.648,13.576,35.224,0.0461
5.0,0.29,1.000000e-04,0.6659,27.026,22.149,49.175,0.0461
5.0,0.29,2.154435e-04,0.6491,31.949,30.775,62.723,0.0461
5.0,0.29,4.641589e-04,0.6364,35.954,38.204,74.158,0.0461
5.0,0.29,1.000000e-03,0.6279,38.777,43.618,82.396,0.0461
5.0,0.29,2.154435e-03,0.6229,40.499,46.985,87.484,0.0461
5.0,0.29,4.641589e-03,0.6202,41.435,48.833,90.268,0.0461
5.0,0.29,1.000000e-02,0.6189,41.908,49.770,91.678,0.0461
5.0,0.31,1.000000e-07,0.9342,44.811,75.882,120.694,0.0090
